ra,dec,mag
132.832434,11.604181,13.576
132.832835,11.571519,14.431
132.815819,11.616116,15.713
132.808920,11.576051,15.391
132.820090,11.587086,13.485
132.798977,11.577277,19.628
132.808520,11.569115,14.989
132.766381,11.606775,15.285
132.766529,11.588120,16.400
132.808423,11.568542,13.509
132.794108,11.625915,13.962
132.785280,11.577135,13.651
132.822062,11.580548,14.822
132.832259,11.592594,14.903
132.809294,11.583300,14.712
132.836807,11.629225,13.624
132.830632,11.573197,14.146
132.818491,11.586704,14.472
132.816729,11.574576,13.133
132.818048,11.575245,15.559
132.823760,11.620512,16.203
132.809951,11.617899,15.428
132.812444,11.613669,15.527
132.832195,11.596841,13.425
132.836042,11.590955,15.124
132.810459,11.603907,15.994
132.808422,11.611238,13.834
132.786685,11.623459,17.676
132.835556,11.631378,13.499
132.818033,11.624287,16.542
132.785563,11.609625,13.018
132.825578,11.583942,14.500
132.785532,11.605979,16.341
132.801031,11.629507,14.367
132.774808,11.583041,13.852
132.799975,11.603417,13.157
132.800250,11.624871,14.519
132.820575,11.628368,15.943
132.797233,11.614755,13.111
132.768062,11.577404,17.521
132.788605,11.627000,13.684
132.817016,11.584933,14.193
132.774729,11.579253,13.994
132.801232,11.578339,15.912
132.772700,11.628144,14.407
132.775417,11.618586,15.421
132.818318,11.589421,15.235
132.775273,11.612344,16.489
132.810257,11.575941,13.213
132.777347,11.602313,17.710
132.825453,11.597571,16.425
132.792809,11.572738,16.198
132.827542,11.577428,16.052
132.803224,11.601105,15.186
132.811892,11.575214,17.645
132.818515,11.577078,13.097
132.807769,11.584191,13.161
132.771694,11.598390,14.991
132.815143,11.570627,14.414
132.813701,11.579557,14.636
132.796769,11.584817,15.247
132.776187,11.618234,14.747
132.785318,11.568331,14.997
132.829378,11.631483,16.761
132.801912,11.621175,15.330
132.764522,11.576940,13.367
132.818740,11.634789,13.033
132.764160,11.574172,14.575
132.823214,11.602806,14.027
132.806214,11.609091,20.144
132.813592,11.581805,13.774
132.828400,11.604931,14.370
132.804842,11.611670,17.465
132.833881,11.565413,16.216
132.808403,11.578767,14.092
132.770383,11.569905,13.479
132.788852,11.625782,14.406
132.784006,11.595792,18.252
132.798557,11.630647,17.999
132.797055,11.581070,14.197
132.805026,11.622180,13.889
132.790399,11.603160,15.502
132.781702,11.629201,15.581
132.791818,11.615394,14.309
132.787953,11.618935,13.975
132.767450,11.622192,15.831
132.791840,11.579267,18.871
132.820293,11.622563,14.690
132.800443,11.626883,14.721
132.817758,11.569084,13.802
132.825375,11.586842,15.990
132.797275,11.568582,14.761
132.800882,11.578243,13.332
132.768347,11.575455,13.108
132.777435,11.611403,14.754
132.811708,11.565543,13.500
132.787295,11.579879,14.995
132.783860,11.622190,14.026
132.778132,11.589655,13.129
132.803715,11.591994,13.701
132.787482,11.603762,13.570
132.768467,11.609699,13.804
132.798655,11.625770,16.170
132.810448,11.592328,14.147
132.822670,11.632322,15.017
132.776455,11.634652,13.296
132.808972,11.586415,13.205
132.833285,11.608525,14.786
132.802441,11.564624,13.297
132.829143,11.569722,13.822
132.824408,11.583347,17.014
132.835018,11.633737,13.068
132.795841,11.620502,14.760
132.836273,11.630320,13.196
132.800843,11.565751,13.183
132.770875,11.610478,14.772
132.821086,11.579672,17.367
132.806662,11.565000,13.092
132.802863,11.606465,16.181
132.817839,11.603761,14.535
132.763003,11.586631,16.513
132.782138,11.614161,14.338
132.804906,11.569084,18.485
132.799837,11.595479,17.118
132.833241,11.624877,14.002
132.764951,11.578033,13.747
132.764681,11.570776,16.972
132.801272,11.613964,14.352
132.775700,11.601072,17.893
132.815412,11.602813,13.678
132.829985,11.623833,15.847
132.767176,11.607895,17.270
132.797405,11.569961,15.710
132.773840,11.591140,14.632
132.795313,11.577152,14.558
132.768115,11.614410,14.151
132.830389,11.575409,14.213
132.789221,11.635384,17.821
132.800085,11.569684,16.729
132.775788,11.610202,13.781
132.807435,11.573844,15.718
132.805827,11.609967,16.645
132.807971,11.605145,18.266
132.835512,11.569457,14.454
132.812642,11.599294,16.733
132.789764,11.577732,14.507
132.834515,11.577257,15.560
132.780024,11.600944,16.225
132.811471,11.629089,17.993
132.801732,11.633591,13.658
132.796526,11.633476,13.095
132.819922,11.630386,17.836
132.795513,11.616462,18.497
132.768167,11.604407,13.003
132.825060,11.571345,14.028
132.832216,11.621732,15.300
132.778012,11.583866,15.922
132.836660,11.574462,15.151
132.787025,11.568253,13.833
132.785302,11.592348,14.880
132.808970,11.615303,16.033
132.788723,11.586205,14.429
132.799899,11.614467,14.125
132.797035,11.605538,13.633
132.781620,11.591414,14.703
132.813063,11.618609,16.233
132.820957,11.632875,13.739
132.813246,11.585022,13.188
132.768653,11.582836,16.802
132.780897,11.564442,16.448
132.777870,11.599818,13.522
132.803685,11.593119,14.523
132.776131,11.597446,16.596
132.819161,11.570469,13.453
132.818927,11.584912,15.054
132.826197,11.591207,15.715
132.816177,11.572842,15.833
132.815736,11.577452,16.001
132.797820,11.565334,17.779
132.797439,11.565371,15.098
132.811798,11.623155,13.920
132.815109,11.578588,17.529
132.826989,11.607691,13.375
132.765575,11.605052,15.224
132.836690,11.566344,14.957
132.831115,11.566630,13.248
132.815860,11.579113,16.205
132.787155,11.597584,14.410
132.817670,11.599012,13.225
132.770107,11.587200,15.091
132.836084,11.611767,16.265
132.810528,11.583096,15.561
132.800762,11.567512,18.945
132.829078,11.620057,15.764
132.815644,11.584454,15.640
132.793726,11.585971,15.157
132.798565,11.591418,15.967
132.762937,11.611727,13.549
132.823557,11.571202,14.126
132.795200,11.615900,13.073
132.785282,11.582829,18.079
132.775656,11.629126,13.395
132.827794,11.591053,15.016
132.803050,11.615060,14.529
132.793577,11.576627,13.762
132.812798,11.601970,13.473
132.834390,11.584349,16.000
132.771982,11.607858,17.504
132.793407,11.576783,16.393
132.792043,11.622540,17.524
132.763798,11.565650,19.417
132.792796,11.594816,14.405
132.792899,11.615220,14.339
132.781862,11.578762,14.974
132.829332,11.565911,15.458
132.784844,11.598673,18.301
132.766678,11.625717,15.055
132.763176,11.604310,14.361
132.768680,11.576688,13.530
132.821314,11.587282,13.602
132.836852,11.620606,13.863
132.790413,11.619669,18.138
132.795721,11.602911,14.694
132.810962,11.608096,13.067
132.795807,11.596254,15.690
132.822282,11.606401,14.962
132.794891,11.625306,14.582
132.767748,11.613570,13.772
132.777935,11.598192,15.546
132.824649,11.586793,13.495
132.782339,11.604756,15.814
132.782988,11.589010,13.299
132.767469,11.586938,17.818
132.763227,11.582737,15.509
132.803568,11.593449,13.727
132.784877,11.590185,17.658
132.785622,11.626686,13.806
132.819031,11.598387,13.875
132.786859,11.565896,13.186
132.816111,11.627893,15.284
132.796191,11.586139,14.220
132.832669,11.622051,15.041
132.819460,11.570725,14.218
132.800248,11.615349,16.557
132.776926,11.621258,13.981
132.765901,11.564846,18.211
132.773469,11.581248,13.720
132.772957,11.631857,16.190
132.796426,11.595599,15.109
132.822723,11.635177,13.294
132.782828,11.601802,14.680
132.783101,11.577098,14.051
132.833055,11.568219,16.141
132.791209,11.606372,14.234
132.804189,11.564548,15.309
132.767206,11.595758,14.909
132.783196,11.582218,15.662
132.821962,11.602753,15.043
132.782712,11.621109,13.438
132.773659,11.567855,13.955
132.819892,11.627595,15.558
132.790578,11.612464,13.060
132.762887,11.565864,13.867
132.814851,11.570757,16.442
132.765318,11.595043,13.280
132.783035,11.606410,15.263
132.783523,11.588070,14.419
132.787398,11.579874,16.359
132.807757,11.597335,13.459
132.812010,11.584179,13.517
132.773865,11.602780,13.911
132.779903,11.574048,18.023
132.767736,11.603322,15.417
132.792156,11.571807,15.847
132.790466,11.596629,16.752
132.774038,11.606769,15.368
132.831192,11.608803,14.854
132.831616,11.615370,14.074
132.808990,11.633655,15.880
132.829279,11.579268,13.719
132.833301,11.609352,16.708
132.824641,11.631195,14.325
132.816999,11.599605,13.532
132.779020,11.591615,15.996
132.828162,11.613994,14.585
132.834270,11.564183,13.867
132.812150,11.632283,16.531
132.774078,11.615094,17.426
132.831547,11.570933,13.171
132.783262,11.588502,15.776
132.812326,11.601391,14.341
132.835917,11.618865,13.647
132.809502,11.581552,13.567
132.766904,11.607912,13.271
132.802114,11.575942,17.529
132.800002,11.625963,13.827
132.776208,11.624235,13.917
132.805254,11.568104,13.001
132.770263,11.621956,19.058
132.788814,11.594230,18.030
132.777993,11.633671,17.058
132.830354,11.608220,20.465
132.798323,11.598823,18.106
132.832284,11.588084,15.451
132.779368,11.591917,14.063
132.763978,11.578672,14.156
132.794102,11.569287,16.901
132.817661,11.567519,13.326
132.781941,11.628559,14.451
132.787231,11.580531,13.312
132.813088,11.626386,17.917
132.836186,11.568316,13.193
132.811586,11.601122,13.462
132.784417,11.635433,19.871
132.811835,11.575152,15.036
132.824451,11.584838,13.975
132.802085,11.595137,13.890
132.807952,11.588577,17.749
132.818679,11.584217,14.861
132.813192,11.605457,15.193
