obj_id,kind,rank_score,ra,dec,n_det,frames,mean_snr,rb_score,motion_arcsec_min,motion_pa_deg,var_chi2,var_amp_mag,notes
8,single,0.1318,132.812092,11.565157,1,0,1335.7,0.75,,,,,single unmatched detection
11,single,0.1318,132.763278,11.565477,1,0,1066.9,0.75,,,,,single unmatched detection
12,single,0.1318,132.774044,11.567469,1,0,1048.2,0.75,,,,,single unmatched detection
14,single,0.1318,132.770769,11.569518,1,0,1318.5,0.75,,,,,single unmatched detection
22,single,0.1318,132.790148,11.577344,1,0,784.3,0.75,,,,,single unmatched detection
24,single,0.1318,132.787637,11.579995,1,0,1663.7,0.75,,,,,single unmatched detection
26,single,0.1318,132.797442,11.580683,1,0,967.9,0.75,,,,,single unmatched detection
34,single,0.1318,132.789108,11.585818,1,0,852.6,0.75,,,,,single unmatched detection
40,single,0.1318,132.774224,11.590752,1,0,751.0,0.75,,,,,single unmatched detection
42,single,0.1318,132.810833,11.591942,1,0,1000.9,0.75,,,,,single unmatched detection
46,single,0.1318,132.793181,11.594429,1,0,839.8,0.75,,,,,single unmatched detection
49,single,0.1318,132.832579,11.596454,1,0,1383.4,0.75,,,,,single unmatched detection
51,single,0.1318,132.808141,11.596948,1,0,1398.4,0.75,,,,,single unmatched detection
52,single,0.1318,132.787541,11.597198,1,0,810.7,0.75,,,,,single unmatched detection
58,single,0.1318,132.783211,11.601413,1,0,739.5,0.75,,,,,single unmatched detection
59,single,0.1318,132.77425,11.602392,1,0,1108.4,0.75,,,,,single unmatched detection
61,single,0.1318,132.800358,11.603031,1,0,1552.9,0.75,,,,,single unmatched detection
63,single,0.1318,132.787867,11.603376,1,0,1283.1,0.75,,,,,single unmatched detection
64,single,0.1318,132.832819,11.603793,1,0,1297.9,0.75,,,,,single unmatched detection
66,single,0.1318,132.828784,11.604544,1,0,867.5,0.75,,,,,single unmatched detection
70,single,0.1318,132.791594,11.605985,1,0,954.4,0.75,,,,,single unmatched detection
74,single,0.1318,132.827374,11.607305,1,0,1420.7,0.75,,,,,single unmatched detection
75,single,0.1318,132.811349,11.607708,1,0,1604.1,0.75,,,,,single unmatched detection
77,single,0.1318,132.785948,11.609243,1,0,1571.7,0.75,,,,,single unmatched detection
79,single,0.1318,132.808807,11.610851,1,0,1180.7,0.75,,,,,single unmatched detection
80,single,0.1318,132.763323,11.611339,1,0,1285.2,0.75,,,,,single unmatched detection
84,single,0.1318,132.828547,11.613607,1,0,768.8,0.75,,,,,single unmatched detection
85,single,0.1318,132.782523,11.613774,1,0,887.2,0.75,,,,,single unmatched detection
86,single,0.1318,132.832,11.614982,1,0,1006.8,0.75,,,,,single unmatched detection
92,single,0.1318,132.776304,11.61797,1,0,845.0,0.75,,,,,single unmatched detection
94,single,0.1318,132.788338,11.618547,1,0,1077.0,0.75,,,,,single unmatched detection
101,single,0.1318,132.832863,11.621529,1,0,799.8,0.75,,,,,single unmatched detection
102,single,0.1318,132.805411,11.621793,1,0,1128.7,0.75,,,,,single unmatched detection
104,single,0.1318,132.820678,11.622176,1,0,723.7,0.75,,,,,single unmatched detection
106,single,0.1318,132.812183,11.622768,1,0,1107.3,0.75,,,,,single unmatched detection
111,single,0.1318,132.833625,11.624488,1,0,1028.5,0.75,,,,,single unmatched detection
114,single,0.1318,132.773087,11.627757,1,0,818.0,0.75,,,,,single unmatched detection
116,single,0.1318,132.782263,11.628337,1,0,953.1,0.75,,,,,single unmatched detection
117,single,0.1318,132.776042,11.628738,1,0,1370.5,0.75,,,,,single unmatched detection
125,single,0.1318,132.796911,11.633088,1,0,1546.4,0.75,,,,,single unmatched detection
126,single,0.1318,132.802119,11.633198,1,0,1244.6,0.75,,,,,single unmatched detection
131,single,0.1318,132.834654,11.563798,1,0,1087.7,0.75,,,,,single unmatched detection
133,single,0.1318,132.807046,11.564613,1,0,1553.3,0.75,,,,,single unmatched detection
134,single,0.1318,132.802826,11.564238,1,0,1464.0,0.75,,,,,single unmatched detection
136,single,0.1318,132.801228,11.565374,1,0,1520.3,0.75,,,,,single unmatched detection
137,single,0.1318,132.787243,11.56551,1,0,1508.4,0.75,,,,,single unmatched detection
138,single,0.1318,132.787413,11.567865,1,0,1155.4,0.75,,,,,single unmatched detection
141,single,0.1318,132.831499,11.566244,1,0,1448.9,0.75,,,,,single unmatched detection
143,single,0.1318,132.837097,11.565977,1,0,715.1,0.75,,,,,single unmatched detection
144,single,0.1318,132.836573,11.567928,1,0,1488.7,0.75,,,,,single unmatched detection
