obj_id,kind,rank_score,ra,dec,n_det,frames,mean_snr,rb_score,motion_arcsec_min,motion_pa_deg,var_chi2,var_amp_mag,notes
186,mover,0.8485,132.84108,11.537712,4,"0,1,2,5",102.7,1.0,3.0,298.0,,,"moving object: 3.00 arcsec/min at PA 298 deg, 4 epochs linked"
184,transient,0.7999,132.845106,11.647964,4,"2,3,4,5",168.8,1.0,,,,,"stationary source with no catalog match, 4 detections"
18,variable,0.715,132.864275,11.570746,6,"0,1,2,3,4,5",396.0,1.0,,,1364.35,0.526,"variable: rms=0.233 mag, 4/6 epochs >4 sigma, reduced chi2=1364, amp=0.53 mag"
171,variable,0.7097,132.797445,11.648118,6,"0,1,2,3,4,5",341.3,1.0,,,75.89,0.103,"variable: rms=0.052 mag, 6/6 epochs >4 sigma, reduced chi2=76, amp=0.10 mag"
188,single,0.0913,132.72799,11.623658,1,1,604.6,0.315,,,,,single unmatched detection
189,single,0.0693,132.796031,11.529351,1,3,255.9,0.079,,,,,single unmatched detection
192,single,0.0693,132.727978,11.644959,1,5,248.6,0.079,,,,,single unmatched detection
187,single,0.0693,132.871756,11.649992,1,1,240.6,0.079,,,,,single unmatched detection
191,single,0.0693,132.777037,11.52935,1,5,237.7,0.079,,,,,single unmatched detection
190,single,0.0693,132.871747,11.612213,1,3,215.5,0.079,,,,,single unmatched detection
10,known,0.02,132.780869,11.558377,6,"0,1,2,3,4,5",862.6,1.0,,,0.08,0.003,
12,known,0.02,132.794496,11.564616,6,"0,1,2,3,4,5",1005.4,1.0,,,0.04,0.002,
19,known,0.02,132.778923,11.574215,6,"0,1,2,3,4,5",901.5,1.0,,,17.27,0.055,
24,known,0.02,132.751104,11.583439,6,"0,1,2,3,4,5",806.2,1.0,,,0.01,0.002,
26,known,0.02,132.819528,11.58566,6,"0,1,2,3,4,5",1033.9,1.0,,,0.03,0.003,
27,known,0.02,132.772527,11.585695,6,"0,1,2,3,4,5",709.3,1.0,,,0.05,0.004,
29,known,0.02,132.786533,11.590309,6,"0,1,2,3,4,5",898.1,1.0,,,0.06,0.004,
31,known,0.02,132.792893,11.592225,6,"0,1,2,3,4,5",785.8,1.0,,,0.04,0.003,
34,known,0.02,132.814497,11.595018,6,"0,1,2,3,4,5",1392.0,1.0,,,254.35,0.199,
35,known,0.02,132.775991,11.595484,6,"0,1,2,3,4,5",904.7,1.0,,,0.06,0.003,
42,known,0.02,132.767902,11.603369,6,"0,1,2,3,4,5",785.6,1.0,,,0.02,0.002,
46,known,0.02,132.853085,11.609215,5,"0,1,3,4,5",928.5,1.0,,,0.02,0.002,
50,known,0.02,132.783569,11.611911,6,"0,1,2,3,4,5",986.5,1.0,,,8.15,0.038,
55,known,0.02,132.815743,11.621005,6,"0,1,2,3,4,5",1190.2,1.0,,,0.01,0.002,
58,known,0.02,132.852642,11.626156,6,"0,1,2,3,4,5",832.4,1.0,,,0.01,0.002,
59,known,0.02,132.766612,11.626468,6,"0,1,2,3,4,5",934.9,1.0,,,0.05,0.003,
60,known,0.02,132.859098,11.628727,6,"0,1,2,3,4,5",1064.7,1.0,,,0.02,0.002,
65,known,0.02,132.754983,11.63431,5,"0,1,2,3,4",934.5,1.0,,,16.63,0.049,
69,known,0.02,132.792227,11.63832,6,"0,1,2,3,4,5",755.2,1.0,,,0.11,0.005,
72,known,0.02,132.860694,11.640952,6,"0,1,2,3,4,5",901.9,1.0,,,0.11,0.004,
74,known,0.02,132.837933,11.642173,6,"0,1,2,3,4,5",793.2,1.0,,,59.52,0.1,
83,known,0.02,132.766126,11.653694,5,"0,1,2,3,5",1032.3,1.0,,,0.01,0.001,
99,known,0.02,132.866342,11.54291,6,"0,1,2,3,4,5",891.9,1.0,,,308.92,0.228,
100,known,0.02,132.794909,11.541269,6,"0,1,2,3,4,5",767.1,1.0,,,0.05,0.004,
102,known,0.02,132.861371,11.546777,6,"0,1,2,3,4,5",926.0,1.0,,,1.14,0.017,
103,known,0.02,132.857254,11.549899,6,"0,1,2,3,4,5",1043.4,1.0,,,0.03,0.003,
104,known,0.02,132.856798,11.554032,5,"0,2,3,4,5",1011.5,1.0,,,0.04,0.003,
105,known,0.02,132.828232,11.54513,6,"0,1,2,3,4,5",983.5,1.0,,,0.83,0.012,
111,known,0.02,132.815707,11.560312,6,"0,1,2,3,4,5",1061.4,1.0,,,0.05,0.004,
113,known,0.02,132.825609,11.561791,6,"0,1,2,3,4,5",816.0,1.0,,,0.04,0.003,
115,known,0.02,132.81736,11.568793,5,"0,1,2,3,5",802.0,1.0,,,3.44,0.025,
116,known,0.02,132.835128,11.571065,6,"0,1,2,3,4,5",975.0,1.0,,,0.35,0.007,
118,known,0.02,132.831802,11.571837,6,"0,1,2,3,4,5",1032.8,1.0,,,0.02,0.002,
119,known,0.02,132.834549,11.575144,6,"0,1,2,3,4,5",886.7,1.0,,,22.44,0.061,
121,known,0.02,132.844028,11.54617,6,"0,1,2,3,4,5",1065.5,1.0,,,0.03,0.003,
124,known,0.02,132.733015,11.551723,6,"0,1,2,3,4,5",816.7,1.0,,,0.04,0.003,
125,known,0.02,132.732649,11.560157,6,"0,1,2,3,4,5",1045.0,1.0,,,0.16,0.005,
127,known,0.02,132.791239,11.557294,6,"0,1,2,3,4,5",850.0,1.0,,,0.06,0.004,
131,known,0.02,132.841231,11.563634,6,"0,1,2,3,4,5",745.9,1.0,,,0.16,0.006,
133,known,0.02,132.847813,11.569974,5,"0,1,3,4,5",889.8,1.0,,,0.18,0.006,
