ra,dec,mag
132.860626,11.607811,13.576
132.861368,11.546761,14.431
132.829571,11.630123,15.713
132.816672,11.555235,15.391
132.837550,11.575861,13.485
132.798088,11.557527,19.628
132.815923,11.542270,14.989
132.737160,11.612661,15.285
132.737440,11.577791,16.400
132.815743,11.541200,13.509
132.788986,11.648438,13.962
132.772488,11.557262,13.651
132.841234,11.563640,14.822
132.860297,11.586155,14.903
132.817371,11.568786,14.712
132.868805,11.654623,13.624
132.857252,11.549899,14.146
132.834561,11.575146,14.472
132.831266,11.552478,13.133
132.833731,11.553728,15.559
132.844415,11.638338,16.203
132.818600,11.633457,15.428
132.823261,11.625549,15.527
132.860177,11.594093,13.425
132.867366,11.583090,15.124
132.819550,11.607303,15.994
132.815743,11.621005,13.834
132.775109,11.643849,17.676
132.866466,11.658647,13.499
132.833710,11.645395,16.542
132.773014,11.617990,13.018
132.847807,11.569983,14.500
132.772957,11.611176,16.341
132.801928,11.655154,14.367
132.752914,11.568299,13.852
132.799954,11.606386,13.157
132.800467,11.646488,14.519
132.838462,11.653023,15.943
132.794827,11.627580,13.111
132.740306,11.557761,17.521
132.778699,11.650467,13.684
132.831805,11.571836,14.193
132.752768,11.561219,13.994
132.802303,11.559512,15.912
132.748968,11.652604,14.407
132.754048,11.634739,15.421
132.834238,11.580224,15.235
132.753780,11.623072,16.489
132.819170,11.555030,13.213
132.757658,11.604322,17.710
132.847575,11.595458,16.425
132.786561,11.549042,16.198
132.851477,11.557807,16.052
132.806026,11.602066,15.186
132.822227,11.553671,17.645
132.834605,11.557155,13.097
132.814521,11.570450,13.161
132.747093,11.596988,14.991
132.828302,11.545096,14.414
132.825607,11.561788,14.636
132.793961,11.571620,15.247
132.755487,11.634081,14.747
132.772559,11.540805,14.997
132.854917,11.658843,16.761
132.803575,11.639579,15.330
132.733690,11.556893,13.367
132.835032,11.665025,13.033
132.733015,11.551720,14.575
132.843391,11.605243,14.027
132.811616,11.616992,20.144
132.825405,11.565990,13.774
132.853086,11.609214,14.370
132.809051,11.621813,17.465
132.863322,11.535349,16.216
132.815705,11.560311,14.092
132.744647,11.543745,13.479
132.779162,11.648191,14.406
132.770104,11.592135,18.252
132.797303,11.657284,17.999
132.794496,11.564617,14.197
132.809396,11.641459,13.889
132.782055,11.605906,15.502
132.765795,11.654581,15.581
132.784706,11.628773,14.309
132.777481,11.635392,13.975
132.739155,11.641477,15.831
132.784749,11.561247,18.871
132.837933,11.642173,14.690
132.800828,11.650249,14.721
132.833190,11.542212,13.802
132.847428,11.575404,15.990
132.794908,11.541275,14.761
132.801649,11.559334,13.332
132.740840,11.554118,13.108
132.757820,11.621313,14.754
132.821881,11.535594,13.500
132.776255,11.562391,14.995
132.769830,11.641476,14.026
132.759127,11.580661,13.129
132.806943,11.585035,13.701
132.776601,11.607031,13.570
132.741058,11.618127,13.804
132.797485,11.648168,16.170
132.819528,11.585660,14.147
132.842378,11.660414,15.017
132.755987,11.664768,13.296
132.816769,11.574608,13.205
132.862217,11.615931,14.786
132.804563,11.533877,13.297
132.854467,11.543404,13.822
132.845621,11.568872,17.014
132.865461,11.663056,13.068
132.792226,11.638321,14.760
132.867807,11.656669,13.196
132.801575,11.535984,13.183
132.745558,11.619582,14.772
132.839411,11.562002,17.367
132.812450,11.534579,13.092
132.805351,11.612084,16.181
132.833345,11.607030,14.535
132.730849,11.575007,16.513
132.766612,11.626468,14.338
132.809168,11.542213,18.485
132.799695,11.591549,17.118
132.862137,11.646496,14.002
132.734493,11.558937,13.747
132.733989,11.545372,16.972
132.802377,11.626102,14.352
132.754579,11.602003,17.893
132.828808,11.605257,13.678
132.856052,11.644545,15.847
132.738645,11.614753,17.270
132.795150,11.543852,15.710
132.751104,11.583438,14.632
132.791240,11.557293,14.558
132.740400,11.626932,14.151
132.856798,11.554034,14.213
132.779850,11.666138,17.821
132.800158,11.543334,16.729
132.754743,11.619067,13.781
132.813897,11.551110,15.718
132.810892,11.618629,16.645
132.814899,11.609616,18.266
132.866372,11.542907,14.454
132.823630,11.598680,16.733
132.780869,11.558377,14.507
132.864510,11.557486,15.560
132.762662,11.601763,16.225
132.821442,11.654371,17.993
132.803238,11.662787,13.658
132.793505,11.662573,13.095
132.837240,11.656795,17.836
132.791613,11.630770,18.497
132.740498,11.608234,13.003
132.846836,11.546438,14.028
132.860221,11.640617,15.300
132.758903,11.569842,15.922
132.868518,11.552262,15.151
132.775750,11.540659,13.833
132.772527,11.585696,14.880
132.816767,11.628603,16.033
132.778923,11.574215,14.429
132.799811,11.627041,14.125
132.794458,11.610351,13.633
132.765645,11.583950,14.703
132.824417,11.634783,16.233
132.839176,11.661447,13.739
132.824758,11.572003,13.188
132.741410,11.567915,16.802
132.764297,11.533536,16.448
132.758635,11.599659,13.522
132.806887,11.587137,14.523
132.755386,11.595225,16.596
132.835811,11.544801,13.453
132.835376,11.571798,15.054
132.848965,11.583562,15.715
132.830235,11.549238,15.833
132.829411,11.557853,16.001
132.795925,11.535204,17.779
132.795214,11.535273,15.098
132.822054,11.643280,13.920
132.828239,11.559977,17.529
132.850448,11.614375,13.375
132.735653,11.609440,15.224
132.868572,11.537087,14.957
132.858153,11.537623,13.248
132.829643,11.560959,16.205
132.775991,11.595484,14.410
132.833028,11.598153,13.225
132.744128,11.576073,15.091
132.867449,11.621991,16.265
132.819678,11.568403,15.561
132.801424,11.539275,18.945
132.854355,11.637487,15.764
132.829240,11.570941,15.640
132.788273,11.573778,15.157
132.797317,11.583960,15.967
132.730720,11.621915,13.549
132.844029,11.546171,14.126
132.791028,11.629719,13.073
132.772491,11.567903,18.079
132.754493,11.654440,13.395
132.851950,11.583275,15.016
132.805702,11.628149,14.529
132.787996,11.556312,13.762
132.823921,11.603682,13.473
132.864276,11.570743,16.000
132.747630,11.614685,17.504
132.787677,11.556604,16.393
132.785126,11.642130,17.524
132.732340,11.535790,19.417
132.786534,11.590309,14.405
132.786726,11.628449,14.339
132.766099,11.560303,14.974
132.854820,11.536280,15.458
132.771670,11.597520,18.301
132.737711,11.648066,15.055
132.731169,11.608053,14.361
132.741462,11.556423,13.530
132.839838,11.576227,13.602
132.868887,11.638513,13.863
132.782079,11.636763,18.138
132.792002,11.605441,14.694
132.820490,11.615132,13.067
132.792162,11.592998,15.690
132.841649,11.611963,14.962
132.790449,11.647301,14.582
132.739713,11.625361,13.772
132.758757,11.596619,15.546
132.846072,11.575312,13.495
132.766988,11.608889,15.814
132.768203,11.579457,13.299
132.739197,11.575583,17.818
132.731270,11.567728,15.509
132.806670,11.587756,13.727
132.771733,11.581653,17.658
132.773123,11.649880,13.806
132.835571,11.596984,13.875
132.775440,11.536253,13.186
132.830117,11.652137,15.284
132.792880,11.574091,14.220
132.861067,11.641214,15.041
132.836371,11.545279,14.218
132.800464,11.628690,16.557
132.756868,11.639733,13.981
132.736270,11.534288,18.211
132.750412,11.564947,13.720
132.749446,11.659543,16.190
132.793320,11.591774,15.109
132.842478,11.665750,13.294
132.767903,11.603368,14.680
132.768415,11.557192,14.051
132.861779,11.540594,16.141
132.783569,11.611910,14.234
132.807829,11.533734,15.309
132.738703,11.592068,14.909
132.768593,11.566761,15.662
132.841050,11.605144,15.043
132.767684,11.639456,13.438
132.750769,11.539913,13.955
132.837185,11.651578,15.558
132.782387,11.623297,13.060
132.730637,11.536190,13.867
132.827757,11.545340,16.442
132.735175,11.590731,13.280
132.768289,11.611981,15.263
132.769203,11.577701,14.419
132.776446,11.562381,16.359
132.814498,11.595018,13.459
132.822448,11.570428,13.517
132.751149,11.605194,13.911
132.762438,11.551491,18.023
132.739693,11.606206,15.417
132.785339,11.547302,15.847
