frame,kind,x,y,ra,dec,mag
0,asteroid,78.2987174564954,13.879988174285575,132.85009508144182,11.533017959389593,18.2
0,variable,28.306996476280894,149.70160323170452,132.86427648550068,11.570743363243729,16.0
1,asteroid,99.48945968510964,25.147305681146953,132.84408797067218,11.536148732064202,18.2
1,variable,28.306996476280894,149.70160323170452,132.86427648550068,11.570743363243729,16.25980762113533
2,asteroid,120.68020191372389,36.414623188008335,132.83808072424702,11.53927938219356,18.2
2,transient,95.9714230997121,427.66488381090716,132.8451034134706,11.647958946087424,17.4
2,variable,28.306996476280894,149.70160323170452,132.86427648550068,11.570743363243729,16.25980762113533
3,asteroid,141.87094414233815,47.68194069486971,132.83207334229385,11.54240990965563,18.2
3,transient,95.9714230997121,427.66488381090716,132.8451034134706,11.647958946087424,17.4
3,variable,28.306996476280894,149.70160323170452,132.86427648550068,11.570743363243729,16.0
4,asteroid,163.06168637095237,58.9492582017311,132.82606582494017,11.545540314328399,18.2
4,transient,95.9714230997121,427.66488381090716,132.8451034134706,11.647958946087424,17.4
4,variable,28.306996476280894,149.70160323170452,132.86427648550068,11.570743363243729,15.740192378864668
5,asteroid,184.25242859956666,70.21657570859247,132.82005817231348,11.548670596089831,18.2
5,transient,95.9714230997121,427.66488381090716,132.8451034134706,11.647958946087424,17.4
5,variable,28.306996476280894,149.70160323170452,132.86427648550068,11.570743363243729,15.740192378864668
