obj_id,kind,rank_score,ra,dec,n_det,frames,mean_snr,rb_score,motion_arcsec_min,motion_pa_deg,var_chi2,var_amp_mag,notes
205,mover,0.8477,132.827734,11.591608,4,"0,1,2,5",94.5,1.0,3.001,298.0,,,"moving object: 3.00 arcsec/min at PA 298 deg, 4 epochs linked"
202,transient,0.7999,132.78734,11.573385,4,"2,3,4,5",167.0,1.0,,,,,"stationary source with no catalog match, 4 detections"
21,variable,0.715,132.83439,11.584351,6,"0,1,2,3,4,5",396.1,1.0,,,1316.62,0.513,"variable: rms=0.229 mag, 4/6 epochs >4 sigma, reduced chi2=1317, amp=0.51 mag"
218,single,0.0913,132.838479,11.568588,1,5,584.6,0.315,,,,,single unmatched detection
206,single,0.0913,132.790368,11.562438,1,0,575.2,0.315,,,,,single unmatched detection
215,single,0.0913,132.838233,11.61149,1,4,488.2,0.315,,,,,single unmatched detection
216,single,0.0912,132.778762,11.637731,1,4,112.9,0.315,,,,,single unmatched detection
209,single,0.0693,132.831855,11.562399,1,2,274.8,0.079,,,,,single unmatched detection
207,single,0.0693,132.799697,11.637945,1,1,251.0,0.079,,,,,single unmatched detection
217,single,0.0693,132.765263,11.562283,1,5,232.8,0.079,,,,,single unmatched detection
211,single,0.0693,132.761462,11.629423,1,2,220.1,0.079,,,,,single unmatched detection
213,single,0.0693,132.810318,11.637747,1,3,214.1,0.079,,,,,single unmatched detection
210,single,0.0693,132.761261,11.619763,1,2,208.3,0.079,,,,,single unmatched detection
212,single,0.0693,132.838502,11.621395,1,2,202.3,0.079,,,,,single unmatched detection
214,single,0.0693,132.838503,11.607279,1,4,197.3,0.079,,,,,single unmatched detection
208,single,0.0693,132.798938,11.637863,1,1,195.0,0.079,,,,,single unmatched detection
3,known,0.02,132.762893,11.565862,6,"0,1,2,3,4,5",1189.8,1.0,,,0.02,0.002,
4,known,0.02,132.773659,11.567855,6,"0,1,2,3,4,5",1133.9,1.0,,,0.04,0.003,
13,known,0.02,132.789764,11.577732,6,"0,1,2,3,4,5",856.3,1.0,,,0.12,0.004,
15,known,0.02,132.797056,11.58107,6,"0,1,2,3,4,5",1009.4,1.0,,,0.05,0.003,
22,known,0.02,132.788724,11.586205,5,"0,2,3,4,5",896.3,1.0,,,0.0,0.001,
27,known,0.02,132.77384,11.59114,6,"0,1,2,3,4,5",804.7,1.0,,,0.27,0.007,
29,known,0.02,132.810447,11.592328,6,"0,1,2,3,4,5",1030.8,1.0,,,0.02,0.002,
30,known,0.02,132.832259,11.592594,6,"0,1,2,3,4,5",708.0,1.0,,,0.03,0.002,
31,known,0.02,132.792796,11.594816,6,"0,1,2,3,4,5",895.2,1.0,,,0.05,0.004,
33,known,0.02,132.796198,11.595841,6,"0,1,2,3,4,5",800.8,1.0,,,0.02,0.002,
36,known,0.02,132.807757,11.597335,6,"0,1,2,3,4,5",1410.9,1.0,,,0.01,0.001,
37,known,0.02,132.787155,11.597584,6,"0,1,2,3,4,5",892.4,1.0,,,0.04,0.003,
44,known,0.02,132.782828,11.601803,6,"0,1,2,3,4,5",784.5,1.0,,,0.03,0.002,
45,known,0.02,132.773865,11.60278,6,"0,1,2,3,4,5",1159.8,1.0,,,0.03,0.002,
49,known,0.02,132.8284,11.604931,6,"0,1,2,3,4,5",905.2,1.0,,,0.04,0.004,
53,known,0.02,132.791209,11.606372,6,"0,1,2,3,4,5",987.9,1.0,,,0.07,0.004,
59,known,0.02,132.808422,11.611238,6,"0,1,2,3,4,5",1210.2,1.0,,,0.02,0.002,
63,known,0.02,132.828162,11.613995,6,"0,1,2,3,4,5",825.4,1.0,,,0.04,0.003,
64,known,0.02,132.782138,11.614161,6,"0,1,2,3,4,5",935.5,1.0,,,0.02,0.002,
65,known,0.02,132.831616,11.615371,6,"0,1,2,3,4,5",1076.0,1.0,,,0.05,0.003,
70,known,0.02,132.775918,11.618358,6,"0,1,2,3,4,5",917.9,1.0,,,0.12,0.004,
72,known,0.02,132.787953,11.618935,6,"0,1,2,3,4,5",1117.7,1.0,,,0.09,0.005,
75,known,0.02,132.795841,11.620501,6,"0,1,2,3,4,5",753.4,1.0,,,0.03,0.002,
77,known,0.02,132.776925,11.621258,6,"0,1,2,3,4,5",1113.3,1.0,,,0.03,0.003,
79,known,0.02,132.832469,11.621911,6,"0,1,2,3,4,5",901.2,1.0,,,0.08,0.004,
81,known,0.02,132.820293,11.622563,6,"0,1,2,3,4,5",780.0,1.0,,,0.16,0.006,
83,known,0.02,132.811798,11.623155,5,"0,1,2,3,5",1158.9,1.0,,,0.02,0.002,
87,known,0.02,132.776208,11.624234,6,"0,1,2,3,4,5",1153.5,1.0,,,0.05,0.003,
92,known,0.02,132.772701,11.628145,6,"0,1,2,3,4,5",892.9,1.0,,,0.04,0.003,
104,known,0.02,132.787028,11.568251,6,"0,1,2,3,4,5",1224.1,1.0,,,9.09,0.039,
109,known,0.02,132.835501,11.569466,6,"0,1,2,3,4,5",908.4,1.0,,,0.04,0.003,
110,known,0.02,132.797275,11.568579,6,"0,1,2,3,4,5",766.0,1.0,,,0.01,0.002,
112,known,0.02,132.832843,11.571531,6,"0,1,2,3,4,5",913.8,1.0,,,0.06,0.003,
113,known,0.02,132.830634,11.573197,6,"0,1,2,3,4,5",1048.5,1.0,,,0.03,0.002,
